,País,Tipo_Base_de_Dados,Ano,Cod_Estado,Estado,Cod_Município,Município,Nível_dos_Dados,Ocorrência,Tipo_de_Violência,Sexo,Faixa_Etária,Raça,Arma,Agressor,Violência_Doméstica,Quantidade_de_Casos,Taxa,População
192517,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,0-14,,Arma Branca,,Não,6,,
192518,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,0-14,,Arma de Fogo,,Não,2,,
192519,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,0-14,,Não Especificado,,Não,127,,
192520,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,0-14,,Queimadura,,Não,1,,
192521,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,0-14,,Sem Armas,,Não,1,,
192522,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,15-29,,Arma Branca,,Não,49,,
192523,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,15-29,,Arma de Fogo,,Não,33,,
192524,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,15-29,,Envenenamento,,Não,1,,
192525,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,15-29,,Meio Eletrônico,,Não,1,,
192526,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,15-29,,Não Especificado,,Não,1607,,
192527,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,15-29,,Queimadura,,Não,4,,
192528,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,15-29,,Sem Armas,,Não,21,,
192529,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,15-29,,Veículo,,Não,2,,
192530,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,30-44,,Arma Branca,,Não,37,,
192531,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,30-44,,Arma de Fogo,,Não,13,,
192532,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,30-44,,Não Especificado,,Não,1171,,
192533,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,30-44,,Queimadura,,Não,3,,
192534,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,30-44,,Sem Armas,,Não,23,,
192535,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,30-44,,Veículo,,Não,3,,
192536,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,45-65,,Sem Armas,,Não,1,,
192537,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,45-65,,Arma Branca,,Não,45,,
192538,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,45-65,,Arma de Fogo,,Não,23,,
192539,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,45-65,,Envenenamento,,Não,2,,
192540,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,45-65,,Não Especificado,,Não,1431,,
192541,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,45-65,,Queimadura,,Não,3,,
192542,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,45-65,,Sem Armas,,Não,27,,
192543,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,45-65,,Veículo,,Não,1,,
192544,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,65+,,Arma Branca,,Não,5,,
192545,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,65+,,Arma de Fogo,,Não,1,,
192546,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,65+,,Não Especificado,,Não,131,,
192547,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,não especificado,,Arma Branca,,Não,1,,
192548,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ameaça,Violência Psicológica,Mulher,não especificado,,Não Especificado,,Não,27,,
192549,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Assédio Sexual,Violência Sexual,Mulher,0-14,,Não Especificado,,Não,3,,
192550,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Assédio Sexual,Violência Sexual,Mulher,15-29,,Não Especificado,,Não,8,,
192551,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Assédio Sexual,Violência Sexual,Mulher,30-44,,Não Especificado,,Não,2,,
192552,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Assédio Sexual,Violência Sexual,Mulher,45-65,,Não Especificado,,Não,2,,
192553,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Assédio Sexual,Violência Sexual,Mulher,não especificado,,Não Especificado,,Não,1,,
192554,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ato Obsceno,Violência Sexual,Mulher,0-14,,Não Especificado,,Não,4,,
192555,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ato Obsceno,Violência Sexual,Mulher,15-29,,Não Especificado,,Não,11,,
192556,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ato Obsceno,Violência Sexual,Mulher,30-44,,Não Especificado,,Não,3,,
192557,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Ato Obsceno,Violência Sexual,Mulher,45-65,,Não Especificado,,Não,9,,
192558,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Calúnia,Violência Moral,Mulher,0-14,,Não Especificado,,Não,2,,
192559,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Calúnia,Violência Moral,Mulher,15-29,,Não Especificado,,Não,26,,
192560,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Calúnia,Violência Moral,Mulher,30-44,,Não Especificado,,Não,12,,
192561,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Calúnia,Violência Moral,Mulher,30-44,,Sem Armas,,Não,1,,
192562,Brasil,Segurança,2012,31,Minas Gerais,313670,Juiz De Fora,Município,Calúnia,Violência Moral,Mulher,45-65,,Não Especificado,,Não,30,,
